	Cluster	celltype
1180	1	ExcitatoryL2and3
1181	1	ExcitatoryL2and3
1182	10	Olig
1183	1	ExcitatoryL2and3
1184	1	ExcitatoryL2and3
1185	1	ExcitatoryL2and3
1186	2	ExcitatoryL6
1187	3	ExcitatoryL6
1188	0	ExcitatoryL4
1189	11	Endo
1190	8	Sst
1191	1	ExcitatoryL2and3
1192	0	ExcitatoryL4
1193	0	ExcitatoryL4
1194	1	ExcitatoryL2and3
1195	7	Pvalb
1196	12	Micro
1197	14	Other
1198	1	ExcitatoryL2and3
1199	2	ExcitatoryL6
1200	1	ExcitatoryL2and3
1201	1	ExcitatoryL2and3
1202	0	ExcitatoryL4
1203	10	Olig
1204	11	Endo
1205	4	ExcitatoryL5
1206	10	Olig
1207	4	ExcitatoryL5
1208	10	Olig
1209	3	ExcitatoryL6
1210	1	ExcitatoryL2and3
1211	12	Micro
1212	10	Olig
1213	7	Pvalb
1214	12	Micro
1215	2	ExcitatoryL6
1216	11	Endo
1217	10	Olig
1218	7	Pvalb
1219	2	ExcitatoryL6
1220	15	Smc
1221	2	ExcitatoryL6
1222	4	ExcitatoryL5
1223	1	ExcitatoryL2and3
1224	1	ExcitatoryL2and3
1225	2	ExcitatoryL6
1226	4	ExcitatoryL5
1227	11	Endo
1228	11	Endo
1229	1	ExcitatoryL2and3
1230	15	Smc
1231	11	Endo
1232	10	Olig
1233	7	Pvalb
1234	13	Astro
1235	10	Olig
1236	13	Astro
1237	2	ExcitatoryL6
1238	2	ExcitatoryL6
1239	2	ExcitatoryL6
1240	1	ExcitatoryL2and3
1241	13	Astro
1242	0	ExcitatoryL4
1243	1	ExcitatoryL2and3
1244	10	Olig
1245	1	ExcitatoryL2and3
1246	11	Endo
1247	1	ExcitatoryL2and3
1248	4	ExcitatoryL5
1249	2	ExcitatoryL6
1250	13	Astro
1251	13	Astro
1252	0	ExcitatoryL4
1253	1	ExcitatoryL2and3
1254	1	ExcitatoryL2and3
1255	1	ExcitatoryL2and3
1256	10	Olig
1257	2	ExcitatoryL6
1258	0	ExcitatoryL4
1259	15	Smc
1260	13	Astro
1261	2	ExcitatoryL6
1262	0	ExcitatoryL4
1263	11	Endo
1264	13	Astro
1265	13	Astro
1266	1	ExcitatoryL2and3
1267	2	ExcitatoryL6
1268	2	ExcitatoryL6
1269	8	Sst
1270	12	Micro
1271	0	ExcitatoryL4
1272	2	ExcitatoryL6
1273	1	ExcitatoryL2and3
1274	0	ExcitatoryL4
1275	2	ExcitatoryL6
1276	1	ExcitatoryL2and3
1277	2	ExcitatoryL6
1278	0	ExcitatoryL4
1279	11	Endo
1280	15	Smc
1281	10	Olig
1282	13	Astro
1283	4	ExcitatoryL5
1284	1	ExcitatoryL2and3
1285	10	Olig
1286	4	ExcitatoryL5
1287	2	ExcitatoryL6
1288	4	ExcitatoryL5
1289	13	Astro
1290	2	ExcitatoryL6
1291	0	ExcitatoryL4
1292	13	Astro
1293	1	ExcitatoryL2and3
1294	15	Smc
1295	2	ExcitatoryL6
1296	7	Pvalb
1297	10	Olig
1298	10	Olig
1299	1	ExcitatoryL2and3
1300	10	Olig
1301	10	Olig
1302	0	ExcitatoryL4
1303	13	Astro
1304	0	ExcitatoryL4
1305	1	ExcitatoryL2and3
1306	6	Vip
1307	7	Pvalb
1308	2	ExcitatoryL6
1309	8	Sst
1310	1	ExcitatoryL2and3
1311	10	Olig
1312	0	ExcitatoryL4
1313	1	ExcitatoryL2and3
1314	0	ExcitatoryL4
1315	1	ExcitatoryL2and3
1316	1	ExcitatoryL2and3
1317	15	Smc
1318	15	Smc
1319	11	Endo
1320	0	ExcitatoryL4
1321	13	Astro
1322	10	Olig
1323	3	ExcitatoryL6
1324	8	Sst
1325	10	Olig
1326	1	ExcitatoryL2and3
1327	1	ExcitatoryL2and3
1328	1	ExcitatoryL2and3
1329	1	ExcitatoryL2and3
1330	10	Olig
1331	0	ExcitatoryL4
1332	0	ExcitatoryL4
1333	4	ExcitatoryL5
1334	2	ExcitatoryL6
1335	0	ExcitatoryL4
1336	8	Sst
1337	1	ExcitatoryL2and3
1338	10	Olig
1339	2	ExcitatoryL6
1340	8	Sst
1341	13	Astro
1342	4	ExcitatoryL5
1343	4	ExcitatoryL5
1344	14	Other
1345	0	ExcitatoryL4
1346	14	Other
1347	2	ExcitatoryL6
1348	2	ExcitatoryL6
1349	10	Olig
1350	13	Astro
1351	10	Olig
1352	3	ExcitatoryL6
1353	0	ExcitatoryL4
1354	10	Olig
1355	4	ExcitatoryL5
1356	1	ExcitatoryL2and3
1357	2	ExcitatoryL6
1358	2	ExcitatoryL6
1359	0	ExcitatoryL4
1360	10	Olig
1361	15	Smc
1362	0	ExcitatoryL4
1363	13	Astro
1364	1	ExcitatoryL2and3
1365	2	ExcitatoryL6
1366	0	ExcitatoryL4
1367	3	ExcitatoryL6
1368	0	ExcitatoryL4
1369	10	Olig
1370	3	ExcitatoryL6
1371	3	ExcitatoryL6
1372	2	ExcitatoryL6
1373	4	ExcitatoryL5
1374	15	Smc
1375	2	ExcitatoryL6
1376	2	ExcitatoryL6
1377	8	Sst
1378	11	Endo
1379	3	ExcitatoryL6
1380	11	Endo
1381	10	Olig
1382	13	Astro
1383	7	Pvalb
1384	11	Endo
1385	1	ExcitatoryL2and3
1386	2	ExcitatoryL6
1387	1	ExcitatoryL2and3
1388	13	Astro
1389	1	ExcitatoryL2and3
1390	13	Astro
1391	11	Endo
1392	13	Astro
1393	0	ExcitatoryL4
1394	1	ExcitatoryL2and3
1395	10	Olig
1396	0	ExcitatoryL4
1397	2	ExcitatoryL6
1398	10	Olig
1399	3	ExcitatoryL6
1400	11	Endo
1401	2	ExcitatoryL6
1402	11	Endo
1403	10	Olig
1404	1	ExcitatoryL2and3
1405	13	Astro
1406	10	Olig
1407	1	ExcitatoryL2and3
1408	11	Endo
1409	8	Sst
1410	0	ExcitatoryL4
1411	1	ExcitatoryL2and3
1412	14	Other
1413	12	Micro
1414	11	Endo
1415	14	Other
1416	11	Endo
1417	10	Olig
1418	10	Olig
1419	11	Endo
1420	4	ExcitatoryL5
1421	10	Olig
1422	7	Pvalb
1423	11	Endo
1424	4	ExcitatoryL5
1425	8	Sst
1426	2	ExcitatoryL6
1427	13	Astro
1428	11	Endo
1429	1	ExcitatoryL2and3
1430	8	Sst
1431	13	Astro
1432	13	Astro
1433	10	Olig
1434	10	Olig
1435	7	Pvalb
1436	11	Endo
1437	4	ExcitatoryL5
1438	2	ExcitatoryL6
1439	0	ExcitatoryL4
1440	10	Olig
1441	1	ExcitatoryL2and3
1442	1	ExcitatoryL2and3
1443	2	ExcitatoryL6
1444	7	Pvalb
1445	4	ExcitatoryL5
1446	6	Vip
1447	15	Smc
1448	9	Npy
1449	4	ExcitatoryL5
1450	11	Endo
1451	0	ExcitatoryL4
1452	11	Endo
1453	10	Olig
1454	3	ExcitatoryL6
1455	1	ExcitatoryL2and3
1456	10	Olig
1457	0	ExcitatoryL4
1458	1	ExcitatoryL2and3
1459	13	Astro
1460	0	ExcitatoryL4
1461	2	ExcitatoryL6
1462	3	ExcitatoryL6
1463	1	ExcitatoryL2and3
1464	13	Astro
1465	13	Astro
1466	15	Smc
1467	10	Olig
1468	13	Astro
1469	10	Olig
1470	1	ExcitatoryL2and3
1471	2	ExcitatoryL6
1472	2	ExcitatoryL6
1473	13	Astro
1474	10	Olig
1475	11	Endo
1476	12	Micro
1477	0	ExcitatoryL4
1478	2	ExcitatoryL6
1479	4	ExcitatoryL5
1480	1	ExcitatoryL2and3
1481	11	Endo
1482	2	ExcitatoryL6
1483	1	ExcitatoryL2and3
1484	15	Smc
1485	8	Sst
1486	0	ExcitatoryL4
1487	10	Olig
1488	13	Astro
1489	10	Olig
1490	1	ExcitatoryL2and3
1491	13	Astro
1492	1	ExcitatoryL2and3
1493	10	Olig
1494	4	ExcitatoryL5
1495	13	Astro
1496	2	ExcitatoryL6
1497	2	ExcitatoryL6
1498	4	ExcitatoryL5
1499	2	ExcitatoryL6
1500	3	ExcitatoryL6
1501	10	Olig
1502	2	ExcitatoryL6
1503	13	Astro
1504	10	Olig
1505	0	ExcitatoryL4
1506	0	ExcitatoryL4
1507	2	ExcitatoryL6
1508	1	ExcitatoryL2and3
1509	11	Endo
1510	14	Other
1511	1	ExcitatoryL2and3
1512	0	ExcitatoryL4
1513	10	Olig
1514	2	ExcitatoryL6
1515	7	Pvalb
1516	1	ExcitatoryL2and3
1517	10	Olig
1518	10	Olig
1519	10	Olig
1520	2	ExcitatoryL6
1521	1	ExcitatoryL2and3
1522	1	ExcitatoryL2and3
